GCF	Genomes	Prevalence_pct	BGC_regions	BGC_classes	Products	Category	Candidate_priority
FAM_00355	25	22.73	25	other	ectoine;hydrogen-cyanide	Intermediate	2
FAM_00394	17	15.45	17	other	hserlactone	Intermediate	2
FAM_00370	14	12.73	14	other	betalactone	Intermediate	2
FAM_00350	13	11.82	13	other	acyl_amino_acids;hserlactone	Intermediate	2
FAM_00002	12	10.91	12	RiPP	RiPP-like	Intermediate	2
FAM_00399	12	10.91	12	other	hserlactone	Intermediate	2
FAM_00003	11	10.0	12	RiPP	RiPP-like	Intermediate	2
FAM_00315	11	10.0	11	terpene	terpene	Intermediate	2
FAM_00372	11	10.0	11	other	betalactone	Intermediate	2
FAM_00386	11	10.0	11	other	hserlactone	Intermediate	2
FAM_00387	11	10.0	11	other	hserlactone	Intermediate	2
