GCF	Genomes	Prevalence_pct	BGC_regions	BGC_classes	Products	Category	Candidate_priority
FAM_00346	9	8.18	9	other	acyl_amino_acids;hserlactone	Rare	1
FAM_00347	9	8.18	9	other	acyl_amino_acids;acyl_amino_acids;hserlactone;hserlactone	Rare	1
FAM_00396	9	8.18	9	other	hserlactone	Rare	1
FAM_00031	8	7.27	8	RiPP	redox-cofactor	Rare	1
FAM_00367	8	7.27	8	other	betalactone	Rare	1
FAM_00369	8	7.27	8	other	betalactone	Rare	1
FAM_00393	8	7.27	8	other	hserlactone	Rare	1
FAM_00260	7	6.36	10	PKS	T3PKS	Rare	1
FAM_00039	7	6.36	7	RiPP	thioamitides;thiopeptide;thioamitides	Rare	1
FAM_00042	7	6.36	7	RiPP	RRE-containing	Rare	1
FAM_00373	7	6.36	7	other	betalactone	Rare	1
FAM_00397	7	6.36	7	other	hserlactone	Rare	1
FAM_00008	6	5.45	6	RiPP	RRE-containing;lassopeptide;lassopeptide;RRE-containing	Rare	1
FAM_00348	6	5.45	6	other	hserlactone	Rare	1
FAM_00353	6	5.45	6	other	acyl_amino_acids;hserlactone	Rare	1
FAM_00359	6	5.45	6	other	betalactone	Rare	1
FAM_00360	6	5.45	6	other	betalactone	Rare	1
FAM_00368	6	5.45	6	other	betalactone	Rare	1
FAM_00375	6	5.45	6	other	hserlactone	Rare	1
FAM_00388	6	5.45	6	other	hserlactone	Rare	1
FAM_00389	6	5.45	6	other	hserlactone	Rare	1
FAM_00392	6	5.45	6	other	hserlactone	Rare	1
FAM_00395	6	5.45	6	other	hserlactone	Rare	1
FAM_00401	6	5.45	6	other	hydrogen-cyanide	Rare	1
FAM_00374	5	4.55	6	other	hserlactone	Rare	1
FAM_00029	5	4.55	5	RiPP	thioamitides	Rare	1
FAM_00036	5	4.55	5	RiPP	RRE-containing	Rare	1
FAM_00317	5	4.55	5	terpene	terpene	Rare	1
FAM_00351	5	4.55	5	other	acyl_amino_acids	Rare	1
FAM_00398	5	4.55	5	other	hserlactone	Rare	1
