GCF	Genomes	Percent
FAM_00321	109	99.09
FAM_00355	25	22.73
FAM_00394	17	15.45
FAM_00370	14	12.73
FAM_00350	13	11.82
FAM_00002	12	10.91
FAM_00399	12	10.91
FAM_00003	11	10.0
FAM_00315	11	10.0
FAM_00372	11	10.0
FAM_00386	11	10.0
FAM_00387	11	10.0
FAM_00346	9	8.18
FAM_00347	9	8.18
FAM_00396	9	8.18
FAM_00031	8	7.27
FAM_00367	8	7.27
FAM_00369	8	7.27
FAM_00393	8	7.27
FAM_00039	7	6.36
FAM_00042	7	6.36
FAM_00260	7	6.36
FAM_00373	7	6.36
FAM_00397	7	6.36
FAM_00008	6	5.45
FAM_00348	6	5.45
FAM_00353	6	5.45
FAM_00359	6	5.45
FAM_00360	6	5.45
FAM_00368	6	5.45
FAM_00375	6	5.45
FAM_00388	6	5.45
FAM_00389	6	5.45
FAM_00392	6	5.45
FAM_00395	6	5.45
FAM_00401	6	5.45
FAM_00029	5	4.55
FAM_00036	5	4.55
FAM_00317	5	4.55
FAM_00351	5	4.55
FAM_00374	5	4.55
FAM_00398	5	4.55
FAM_00030	4	3.64
FAM_00040	4	3.64
FAM_00270	4	3.64
FAM_00371	4	3.64
FAM_00402	4	3.64
FAM_00021	3	2.73
FAM_00033	3	2.73
FAM_00041	3	2.73
FAM_00044	3	2.73
FAM_00168	3	2.73
FAM_00169	3	2.73
FAM_00268	3	2.73
FAM_00269	3	2.73
FAM_00349	3	2.73
FAM_00356	3	2.73
FAM_00381	3	2.73
FAM_00390	3	2.73
FAM_00400	3	2.73
FAM_00010	2	1.82
FAM_00032	2	1.82
FAM_00034	2	1.82
FAM_00035	2	1.82
FAM_00037	2	1.82
FAM_00038	2	1.82
FAM_00043	2	1.82
FAM_00178	2	1.82
FAM_00211	2	1.82
FAM_00230	2	1.82
FAM_00352	2	1.82
FAM_00354	2	1.82
FAM_00379	2	1.82
FAM_00385	2	1.82
FAM_00005	1	0.91
FAM_00006	1	0.91
FAM_00019	1	0.91
FAM_00023	1	0.91
FAM_00045	1	0.91
FAM_00046	1	0.91
FAM_00047	1	0.91
FAM_00048	1	0.91
FAM_00049	1	0.91
FAM_00050	1	0.91
FAM_00051	1	0.91
FAM_00052	1	0.91
FAM_00053	1	0.91
FAM_00054	1	0.91
FAM_00055	1	0.91
FAM_00056	1	0.91
FAM_00057	1	0.91
FAM_00058	1	0.91
FAM_00059	1	0.91
FAM_00198	1	0.91
FAM_00256	1	0.91
FAM_00263	1	0.91
FAM_00305	1	0.91
FAM_00306	1	0.91
FAM_00403	1	0.91
FAM_00404	1	0.91
FAM_00405	1	0.91
FAM_00406	1	0.91
FAM_00407	1	0.91
FAM_00408	1	0.91
FAM_00409	1	0.91
FAM_00410	1	0.91
FAM_00411	1	0.91
FAM_00412	1	0.91
FAM_00575	1	0.91
FAM_00578	1	0.91
FAM_00579	1	0.91
