Family	n_genomes_present	pct_genomes_present	category
FAM_00130	45	40.91	intermediate
FAM_00131	36	32.73	intermediate
FAM_00032	23	20.91	intermediate
FAM_00024	16	14.55	intermediate
FAM_00132	14	12.73	intermediate
FAM_00148	12	10.91	intermediate
FAM_00035	11	10.0	intermediate
FAM_00036	11	10.0	intermediate
FAM_00010	10	9.09	rare
FAM_00016	10	9.09	rare
FAM_00134	8	7.27	rare
FAM_00026	7	6.36	rare
FAM_00018	7	6.36	rare
FAM_00047	7	6.36	rare
FAM_00158	7	6.36	rare
FAM_00150	7	6.36	rare
FAM_00023	7	6.36	rare
FAM_00017	6	5.45	rare
FAM_00021	5	4.55	rare
FAM_00022	5	4.55	rare
FAM_00034	5	4.55	rare
FAM_00005	5	4.55	rare
FAM_00009	5	4.55	rare
FAM_00039	5	4.55	rare
FAM_00029	5	4.55	rare
FAM_00033	5	4.55	rare
FAM_00028	5	4.55	rare
FAM_00012	5	4.55	rare
FAM_00011	5	4.55	rare
FAM_00135	5	4.55	rare
FAM_00163	5	4.55	rare
FAM_00147	5	4.55	rare
FAM_00133	5	4.55	rare
FAM_00161	5	4.55	rare
FAM_00153	5	4.55	rare
FAM_00151	4	3.64	rare
FAM_00111	4	3.64	rare
FAM_00162	4	3.64	rare
FAM_00027	4	3.64	rare
FAM_00044	4	3.64	rare
FAM_00025	4	3.64	rare
FAM_00054	4	3.64	rare
FAM_00006	4	3.64	rare
FAM_00008	4	3.64	rare
FAM_00041	3	2.73	rare
FAM_00046	3	2.73	rare
FAM_00051	3	2.73	rare
FAM_00050	3	2.73	rare
FAM_00043	3	2.73	rare
FAM_00045	3	2.73	rare
FAM_00152	3	2.73	rare
FAM_00149	3	2.73	rare
FAM_00136	3	2.73	rare
FAM_00113	3	2.73	rare
FAM_00155	3	2.73	rare
FAM_00156	2	1.82	rare
FAM_00057	2	1.82	rare
FAM_00056	2	1.82	rare
FAM_00049	2	1.82	rare
FAM_00052	2	1.82	rare
FAM_00048	2	1.82	rare
FAM_00053	2	1.82	rare
FAM_00055	2	1.82	rare
FAM_00038	2	1.82	rare
FAM_00037	2	1.82	rare
FAM_00030	2	1.82	rare
FAM_00002	2	1.82	rare
FAM_00001	2	1.82	rare
FAM_00007	2	1.82	rare
FAM_00042	2	1.82	rare
FAM_00040	2	1.82	rare
FAM_00013	2	1.82	rare
FAM_00031	2	1.82	rare
FAM_00014	2	1.82	rare
FAM_00015	2	1.82	rare
FAM_00019	2	1.82	rare
FAM_00020	2	1.82	rare
FAM_00165	2	1.82	rare
FAM_00160	2	1.82	rare
FAM_00126	2	1.82	rare
FAM_00110	2	1.82	rare
FAM_00114	2	1.82	rare
FAM_00164	2	1.82	rare
FAM_00154	2	1.82	rare
FAM_00146	2	1.82	rare
FAM_00157	2	1.82	rare
FAM_00112	2	1.82	rare
FAM_00159	2	1.82	rare
FAM_00166	2	1.82	rare
FAM_00073	1	0.91	rare
FAM_00072	1	0.91	rare
FAM_00075	1	0.91	rare
FAM_00074	1	0.91	rare
FAM_00061	1	0.91	rare
FAM_00060	1	0.91	rare
FAM_00059	1	0.91	rare
FAM_00058	1	0.91	rare
FAM_00004	1	0.91	rare
FAM_00003	1	0.91	rare
FAM_00071	1	0.91	rare
FAM_00070	1	0.91	rare
FAM_00069	1	0.91	rare
FAM_00068	1	0.91	rare
FAM_00067	1	0.91	rare
FAM_00066	1	0.91	rare
FAM_00065	1	0.91	rare
FAM_00064	1	0.91	rare
FAM_00063	1	0.91	rare
FAM_00062	1	0.91	rare
FAM_00077	1	0.91	rare
FAM_00076	1	0.91	rare
FAM_00107	1	0.91	rare
FAM_00108	1	0.91	rare
FAM_00109	1	0.91	rare
FAM_00104	1	0.91	rare
FAM_00103	1	0.91	rare
FAM_00102	1	0.91	rare
FAM_00101	1	0.91	rare
FAM_00100	1	0.91	rare
FAM_00099	1	0.91	rare
FAM_00106	1	0.91	rare
FAM_00105	1	0.91	rare
FAM_00078	1	0.91	rare
FAM_00080	1	0.91	rare
FAM_00079	1	0.91	rare
FAM_00094	1	0.91	rare
FAM_00095	1	0.91	rare
FAM_00096	1	0.91	rare
FAM_00081	1	0.91	rare
FAM_00082	1	0.91	rare
FAM_00083	1	0.91	rare
FAM_00084	1	0.91	rare
FAM_00085	1	0.91	rare
FAM_00086	1	0.91	rare
FAM_00087	1	0.91	rare
FAM_00088	1	0.91	rare
FAM_00089	1	0.91	rare
FAM_00090	1	0.91	rare
FAM_00091	1	0.91	rare
FAM_00092	1	0.91	rare
FAM_00093	1	0.91	rare
FAM_00141	1	0.91	rare
FAM_00140	1	0.91	rare
FAM_00139	1	0.91	rare
FAM_00138	1	0.91	rare
FAM_00137	1	0.91	rare
FAM_00129	1	0.91	rare
FAM_00127	1	0.91	rare
FAM_00128	1	0.91	rare
FAM_00118	1	0.91	rare
FAM_00119	1	0.91	rare
FAM_00120	1	0.91	rare
FAM_00121	1	0.91	rare
FAM_00122	1	0.91	rare
FAM_00123	1	0.91	rare
FAM_00124	1	0.91	rare
FAM_00125	1	0.91	rare
FAM_00117	1	0.91	rare
FAM_00116	1	0.91	rare
FAM_00115	1	0.91	rare
FAM_00097	1	0.91	rare
FAM_00098	1	0.91	rare
FAM_00144	1	0.91	rare
FAM_00143	1	0.91	rare
FAM_00142	1	0.91	rare
FAM_00145	1	0.91	rare
FAM_00167	1	0.91	rare
FAM_00168	1	0.91	rare
FAM_00169	1	0.91	rare
FAM_00170	1	0.91	rare
FAM_00171	1	0.91	rare
FAM_00172	1	0.91	rare
FAM_00173	1	0.91	rare
FAM_00174	1	0.91	rare
FAM_00175	1	0.91	rare
FAM_00176	1	0.91	rare
FAM_00177	1	0.91	rare
FAM_00178	1	0.91	rare
FAM_00179	1	0.91	rare
FAM_00180	1	0.91	rare
FAM_00181	1	0.91	rare
FAM_00182	1	0.91	rare
FAM_00183	1	0.91	rare
FAM_00184	1	0.91	rare
FAM_00185	1	0.91	rare
FAM_00186	1	0.91	rare
FAM_00187	1	0.91	rare
FAM_00188	1	0.91	rare
FAM_00189	1	0.91	rare
FAM_00190	1	0.91	rare
FAM_00191	1	0.91	rare
FAM_00192	1	0.91	rare
FAM_00193	1	0.91	rare
FAM_00194	1	0.91	rare
FAM_00195	1	0.91	rare
FAM_00196	1	0.91	rare
FAM_00197	1	0.91	rare
FAM_00198	1	0.91	rare
FAM_00199	1	0.91	rare
FAM_00200	1	0.91	rare
FAM_00201	1	0.91	rare
FAM_00202	1	0.91	rare
FAM_00203	1	0.91	rare
FAM_00204	1	0.91	rare
FAM_00205	1	0.91	rare
