GCF_000735585.1_ASM73558v1_genomic	GCF_000735585.1
GCF_000743575.1_ASM74357v1_genomic	GCF_000743575.1
GCF_000969445.1_ASM96944v1_genomic	GCF_000969445.1
GCF_000970435.1_ASM97043v1_genomic	GCF_000970435.1
GCF_000970455.1_ASM97045v1_genomic	GCF_000970455.1
GCF_000971295.1_ASM97129v1_genomic	GCF_000971295.1
GCF_001402915.1_ASM140291v1_genomic	GCF_001402915.1
GCF_001421945.1_Leaf64_genomic	GCF_001421945.1
GCF_001424865.1_Root105_genomic	GCF_001424865.1
GCF_001425235.1_Root413D1_genomic	GCF_001425235.1
GCF_001425445.1_Leaf420_genomic	GCF_001425445.1
GCF_001426345.1_Root436_genomic	GCF_001426345.1
GCF_001427605.1_Root635_genomic	GCF_001427605.1
GCF_001427875.1_Root685_genomic	GCF_001427875.1
GCF_001650025.1_De_novo_genomic	GCF_001650025.1
GCF_001899045.1_ASM189904v1_genomic	GCF_001899045.1
GCF_001899065.1_ASM189906v1_genomic	GCF_001899065.1
GCF_001899075.1_ASM189907v1_genomic	GCF_001899075.1
GCF_001899085.1_ASM189908v1_genomic	GCF_001899085.1
GCF_002949085.1_ASM294908v1_genomic	GCF_002949085.1
GCF_003056345.1_ASM305634v1_genomic	GCF_003056345.1
GCF_003056355.1_ASM305635v1_genomic	GCF_003056355.1
GCF_003056405.1_ASM305640v1_genomic	GCF_003056405.1
GCF_004005995.1_ASM400599v1_genomic	GCF_004005995.1
GCF_005222805.1_ASM522280v1_genomic	GCF_005222805.1
GCF_007859655.1_ASM785965v1_genomic	GCF_007859655.1
GCF_009758415.1_ASM975841v1_genomic	GCF_009758415.1
GCF_012847305.1_ASM1284730v1_genomic	GCF_012847305.1
GCF_013185955.1_ASM1318595v1_genomic	GCF_013185955.1
GCF_013185965.1_ASM1318596v1_genomic	GCF_013185965.1
GCF_014127105.1_ASM1412710v1_genomic	GCF_014127105.1
GCF_014197055.1_ASM1419705v1_genomic	GCF_014197055.1
GCF_014652635.1_ASM1465263v1_genomic	GCF_014652635.1
GCF_014837245.1_ASM1483724v1_genomic	GCF_014837245.1
GCF_014926585.1_ASM1492658v1_genomic	GCF_014926585.1
GCF_015158295.1_ASM1515829v1_genomic	GCF_015158295.1
GCF_015234425.1_ASM1523442v1_genomic	GCF_015234425.1
GCF_016411825.1_ASM1641182v1_genomic	GCF_016411825.1
GCF_016457235.1_ASM1645723v1_genomic	GCF_016457235.1
GCF_016461625.1_ASM1646162v1_genomic	GCF_016461625.1
GCF_016595685.1_ASM1659568v1_genomic	GCF_016595685.1
GCF_016698645.1_ASM1669864v1_genomic	GCF_016698645.1
GCF_016698665.1_ASM1669866v1_genomic	GCF_016698665.1
GCF_017307475.1_ASM1730747v1_genomic	GCF_017307475.1
GCF_017307495.1_ASM1730749v1_genomic	GCF_017307495.1
GCF_017307535.1_ASM1730753v1_genomic	GCF_017307535.1
GCF_018334155.1_ASM1833415v1_genomic	GCF_018334155.1
GCF_019504385.1_ASM1950438v1_genomic	GCF_019504385.1
GCF_021729885.1_ASM2172988v1_genomic	GCF_021729885.1
GCF_022429625.1_ASM2242962v1_genomic	GCF_022429625.1
GCF_024158985.1_ASM2415898v1_genomic	GCF_024158985.1
GCF_024273195.1_ASM2427319v1_genomic	GCF_024273195.1
GCF_024273205.1_ASM2427320v1_genomic	GCF_024273205.1
GCF_024707105.1_ASM2470710v1_genomic	GCF_024707105.1
GCF_025452235.1_ASM2545223v1_genomic	GCF_025452235.1
GCF_025809055.1_ASM2580905v1_genomic	GCF_025809055.1
GCF_027214225.1_ASM2721422v1_genomic	GCF_027214225.1
GCF_028290435.1_ASM2829043v1_genomic	GCF_028290435.1
GCF_028290625.1_ASM2829062v1_genomic	GCF_028290625.1
GCF_028613635.1_ASM2861363v1_genomic	GCF_028613635.1
GCF_028816435.1_ASM2881643v1_genomic	GCF_028816435.1
GCF_029201545.1_ASM2920154v1_genomic	GCF_029201545.1
GCF_029201565.1_ASM2920156v1_genomic	GCF_029201565.1
GCF_030159855.1_ASM3015985v1_genomic	GCF_030159855.1
GCF_030160115.1_ASM3016011v1_genomic	GCF_030160115.1
GCF_030177755.1_ASM3017775v1_genomic	GCF_030177755.1
GCF_030285925.1_ASM3028592v1_genomic	GCF_030285925.1
GCF_032907385.1_ASM3290738v1_genomic	GCF_032907385.1
GCF_037113415.1_XK-2_genomic	GCF_037113415.1
GCF_040223715.1_ASM4022371v1_genomic	GCF_040223715.1
