accession	contig	region_number	max_similarity	n_mibig_hits	top_mibig_hit	novelty_category
GCF_000735585.1	NZ_JNNO01000008.1	1	0	0		novel
GCF_000735585.1	NZ_JNNO01000016.1	1	25	2	BGC0001131	novel
GCF_000735585.1	NZ_JNNO01000023.1	1	0	0		novel
GCF_000735585.1	NZ_JNNO01000034.1	1	0	0		novel
GCF_000735585.1	NZ_JNNO01000044.1	1	0	0		novel
GCF_000743575.1	NZ_JQGC01000003.1	1	0	0		novel
GCF_000743575.1	NZ_JQGC01000006.1	1	0	0		novel
GCF_000743575.1	NZ_JQGC01000010.1	1	0	0		novel
GCF_000743575.1	NZ_JQGC01000019.1	1	0	0		novel
GCF_000743575.1	NZ_JQGC01000025.1	1	3	1	BGC0000268	novel
GCF_000743575.1	NZ_JQGC01000033.1	1	10	1	BGC0001215	novel
GCF_000743575.1	NZ_JQGC01000048.1	1	0	0		novel
GCF_000969445.1	NZ_JZEY01000054.1	1	0	0		novel
GCF_000969445.1	NZ_JZEY01000054.1	2	0	0		novel
GCF_000969445.1	NZ_JZEY01000054.1	3	0	0		novel
GCF_000969445.1	NZ_JZEY01000061.1	1	100	9	BGC0000856	known
GCF_000969445.1	NZ_JZEY01000061.1	2	0	0		novel
GCF_000970435.1	NZ_LAJF01000101.1	1	22	50	BGC0000025	novel
GCF_000970435.1	NZ_LAJF01000036.1	1	0	0		novel
GCF_000970435.1	NZ_LAJF01000040.1	1	0	0		novel
GCF_000970435.1	NZ_LAJF01000054.1	1	0	0		novel
GCF_000970435.1	NZ_LAJF01000062.1	1	0	0		novel
GCF_000970435.1	NZ_LAJF01000076.1	1	100	9	BGC0000856	known
GCF_000970435.1	NZ_LAJF01000076.1	2	0	0		novel
GCF_000970435.1	NZ_LAJF01000089.1	1	0	0		novel
GCF_000970435.1	NZ_LAJF01000091.1	1	8	1	BGC0000433	novel
GCF_000970455.1	NZ_LAJG01000014.1	1	0	0		novel
GCF_000970455.1	NZ_LAJG01000014.1	2	0	0		novel
GCF_000970455.1	NZ_LAJG01000014.1	3	0	0		novel
GCF_000970455.1	NZ_LAJG01000022.1	1	100	10	BGC0000656	known
GCF_000970455.1	NZ_LAJG01000048.1	1	0	0		novel
GCF_000971295.1	NZ_LANJ01000011.1	1	0	0		novel
GCF_000971295.1	NZ_LANJ01000004.1	1	0	0		novel
GCF_000971295.1	NZ_LANJ01000045.1	1	0	0		novel
GCF_001402915.1	NZ_CP012945.1	1	0	0		novel
GCF_001402915.1	NZ_CP012945.1	2	0	0		novel
GCF_001402915.1	NZ_CP012945.1	3	33	11	BGC0000323	related
GCF_001402915.1	NZ_CP012945.1	4	0	0		novel
GCF_001402915.1	NZ_CP012945.1	5	0	0		novel
GCF_001421945.1	NZ_LMLO01000002.1	1	0	0		novel
GCF_001421945.1	NZ_LMLO01000012.1	1	0	0		novel
GCF_001421945.1	NZ_LMLO01000012.1	2	0	0		novel
GCF_001421945.1	NZ_LMLO01000018.1	1	0	0		novel
GCF_001421945.1	NZ_LMLO01000019.1	1	100	1	BGC0001680	known
GCF_001421945.1	NZ_LMLO01000024.1	1	0	0		novel
GCF_001424865.1	NZ_LMCR01000015.1	1	0	0		novel
GCF_001424865.1	NZ_LMCR01000016.1	1	0	0		novel
GCF_001424865.1	NZ_LMCR01000017.1	1	0	0		novel
GCF_001424865.1	NZ_LMCR01000017.1	2	0	0		novel
GCF_001424865.1	NZ_LMCR01000019.1	1	18	3	BGC0000947	novel
GCF_001424865.1	NZ_LMCR01000021.1	1	33	12	BGC0000323	related
GCF_001425235.1	NZ_LMEA01000010.1	1	0	0		novel
GCF_001425235.1	NZ_LMEA01000010.1	2	0	0		novel
GCF_001425235.1	NZ_LMEA01000011.1	1	0	0		novel
GCF_001425235.1	NZ_LMEA01000011.1	2	0	0		novel
GCF_001425235.1	NZ_LMEA01000012.1	1	33	14	BGC0000323	related
GCF_001425235.1	NZ_LMEA01000012.1	2	18	3	BGC0000947	novel
GCF_001425445.1	NZ_LMQU01000003.1	1	0	0		novel
GCF_001425445.1	NZ_LMQU01000010.1	1	100	1	BGC0001680	known
GCF_001425445.1	NZ_LMQU01000011.1	1	0	0		novel
GCF_001425445.1	NZ_LMQU01000011.1	2	0	0		novel
GCF_001425445.1	NZ_LMQU01000013.1	1	0	0		novel
GCF_001425445.1	NZ_LMQU01000014.1	1	0	0		novel
GCF_001426345.1	NZ_LMEM01000001.1	1	1	1	BGC0000413	novel
