accession	LAP	NRP-metallophore	NRPS	NRPS-like	RRE-containing	RiPP-like	T1PKS	T3PKS	acyl_amino_acids	betalactone	ectoine	hserlactone	hydrogen-cyanide	lanthipeptide-class-ii	lanthipeptide-class-iv	lassopeptide	phosphonate	redox-cofactor	terpene	thioamitides	thiopeptide
GCF_000735585.1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0
GCF_000743575.1	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1	0	0
GCF_000969445.1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0
GCF_000970435.1	0	0	0	2	0	0	1	0	1	1	1	3	1	0	0	0	0	0	1	0	0
GCF_000970455.1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0
GCF_000971295.1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
GCF_001402915.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
GCF_001421945.1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	1	0
GCF_001424865.1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	1
GCF_001425235.1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	1
GCF_001425445.1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	1	0
GCF_001426345.1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0
GCF_001427605.1	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	1	0	0
GCF_001427875.1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0
GCF_001650025.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
GCF_001899045.1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0
GCF_001899065.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
GCF_001899075.1	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	1	0	0
GCF_001899085.1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
GCF_002949085.1	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0
GCF_003056345.1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0
GCF_003056355.1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0
GCF_003056405.1	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0
GCF_004005995.1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	2	0	0
GCF_005222805.1	0	0	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0
GCF_007859655.1	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	1	0	0
GCF_009758415.1	0	0	0	0	0	2	0	0	0	1	1	3	0	0	0	0	0	0	1	0	0
GCF_012847305.1	0	0	0	0	2	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0
GCF_013185955.1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0
GCF_013185965.1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0
GCF_014127105.1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0
GCF_014197055.1	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0
GCF_014652635.1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0
GCF_014837245.1	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	1	0	0
GCF_014926585.1	0	0	0	0	0	1	0	2	0	1	1	1	1	0	0	0	0	0	1	0	0
GCF_015158295.1	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0
GCF_015234425.1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
GCF_016411825.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
GCF_016457235.1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0
GCF_016461625.1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0
GCF_016595685.1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0
GCF_016698645.1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
GCF_016698665.1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0
GCF_017307475.1	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	1	0	0
