accession	contig	products
GCF_000735585.1	NZ_JNNO01000008.1	terpene
GCF_000735585.1	NZ_JNNO01000016.1	redox-cofactor
GCF_000735585.1	NZ_JNNO01000023.1	betalactone
GCF_000735585.1	NZ_JNNO01000034.1	RiPP-like;hydrogen-cyanide
GCF_000735585.1	NZ_JNNO01000044.1	hserlactone
GCF_000743575.1	NZ_JQGC01000003.1	hserlactone
GCF_000743575.1	NZ_JQGC01000006.1	hserlactone
GCF_000743575.1	NZ_JQGC01000010.1	terpene
GCF_000743575.1	NZ_JQGC01000019.1	hserlactone
GCF_000743575.1	NZ_JQGC01000025.1	hserlactone
GCF_000743575.1	NZ_JQGC01000033.1	betalactone
GCF_000743575.1	NZ_JQGC01000048.1	hserlactone
GCF_000969445.1	NZ_JZEY01000054.1	hserlactone
GCF_000969445.1	NZ_JZEY01000054.1	terpene
GCF_000969445.1	NZ_JZEY01000054.1	betalactone
GCF_000969445.1	NZ_JZEY01000061.1	ectoine
GCF_000969445.1	NZ_JZEY01000061.1	hserlactone
GCF_000970435.1	NZ_LAJF01000101.1	T1PKS;NRPS-like
GCF_000970435.1	NZ_LAJF01000036.1	hserlactone
GCF_000970435.1	NZ_LAJF01000040.1	hserlactone
GCF_000970435.1	NZ_LAJF01000054.1	acyl_amino_acids;hserlactone
GCF_000970435.1	NZ_LAJF01000062.1	betalactone
GCF_000970435.1	NZ_LAJF01000076.1	ectoine
GCF_000970435.1	NZ_LAJF01000076.1	hydrogen-cyanide
GCF_000970435.1	NZ_LAJF01000089.1	terpene
GCF_000970435.1	NZ_LAJF01000091.1	NRPS-like
GCF_000970455.1	NZ_LAJG01000014.1	terpene
GCF_000970455.1	NZ_LAJG01000014.1	betalactone
GCF_000970455.1	NZ_LAJG01000014.1	thioamitides
GCF_000970455.1	NZ_LAJG01000022.1	terpene
GCF_000970455.1	NZ_LAJG01000048.1	hserlactone
GCF_000971295.1	NZ_LANJ01000011.1	terpene
GCF_000971295.1	NZ_LANJ01000004.1	hserlactone
GCF_000971295.1	NZ_LANJ01000045.1	betalactone
GCF_001402915.1	NZ_CP012945.1	thioamitides
GCF_001402915.1	NZ_CP012945.1	redox-cofactor
GCF_001402915.1	NZ_CP012945.1	RRE-containing
GCF_001402915.1	NZ_CP012945.1	terpene
GCF_001402915.1	NZ_CP012945.1	thioamitides
GCF_001421945.1	NZ_LMLO01000002.1	hserlactone
GCF_001421945.1	NZ_LMLO01000012.1	hserlactone
GCF_001421945.1	NZ_LMLO01000012.1	thioamitides
GCF_001421945.1	NZ_LMLO01000018.1	terpene
GCF_001421945.1	NZ_LMLO01000019.1	acyl_amino_acids
GCF_001421945.1	NZ_LMLO01000024.1	betalactone
GCF_001424865.1	NZ_LMCR01000015.1	terpene
GCF_001424865.1	NZ_LMCR01000016.1	thioamitides
GCF_001424865.1	NZ_LMCR01000017.1	redox-cofactor
GCF_001424865.1	NZ_LMCR01000017.1	thiopeptide;thioamitides
GCF_001424865.1	NZ_LMCR01000019.1	T3PKS
GCF_001424865.1	NZ_LMCR01000021.1	RRE-containing
GCF_001425235.1	NZ_LMEA01000010.1	redox-cofactor
GCF_001425235.1	NZ_LMEA01000010.1	thiopeptide;thioamitides
GCF_001425235.1	NZ_LMEA01000011.1	thioamitides
GCF_001425235.1	NZ_LMEA01000011.1	terpene
GCF_001425235.1	NZ_LMEA01000012.1	RRE-containing
GCF_001425235.1	NZ_LMEA01000012.1	T3PKS
GCF_001425445.1	NZ_LMQU01000003.1	terpene
GCF_001425445.1	NZ_LMQU01000010.1	acyl_amino_acids
GCF_001425445.1	NZ_LMQU01000011.1	hserlactone
GCF_001425445.1	NZ_LMQU01000011.1	thioamitides
GCF_001425445.1	NZ_LMQU01000013.1	betalactone
GCF_001425445.1	NZ_LMQU01000014.1	hserlactone
GCF_001426345.1	NZ_LMEM01000001.1	terpene
GCF_001426345.1	NZ_LMEM01000009.1	betalactone
GCF_001426345.1	NZ_LMEM01000010.1	hserlactone
GCF_001426345.1	NZ_LMEM01000013.1	hserlactone
GCF_001426345.1	NZ_LMEM01000015.1	hydrogen-cyanide
GCF_001427605.1	NZ_LMGZ01000004.1	hydrogen-cyanide
GCF_001427605.1	NZ_LMGZ01000018.1	betalactone
GCF_001427605.1	NZ_LMGZ01000019.1	hserlactone
GCF_001427605.1	NZ_LMGZ01000021.1	terpene
GCF_001427605.1	NZ_LMGZ01000022.1	hserlactone
GCF_001427605.1	NZ_LMGZ01000023.1	hserlactone
GCF_001427875.1	NZ_LMHK01000001.1	betalactone
GCF_001427875.1	NZ_LMHK01000001.1	terpene
GCF_001427875.1	NZ_LMHK01000002.1	hserlactone
GCF_001427875.1	NZ_LMHK01000003.1	hserlactone
GCF_001650025.1	NZ_LVVY01000070.1	terpene
GCF_001650025.1	NZ_LVVY01000098.1	hserlactone
GCF_001899045.1	NZ_MKUY01000003.1	terpene
GCF_001899045.1	NZ_MKUY01000003.1	betalactone
GCF_001899045.1	NZ_MKUY01000004.1	hserlactone
GCF_001899045.1	NZ_MKUY01000005.1	thioamitides
GCF_001899065.1	NZ_MKUZ01000008.1	terpene
GCF_001899065.1	NZ_MKUZ01000013.1	hserlactone
GCF_001899065.1	NZ_MKUZ01000030.1	thioamitides
GCF_001899075.1	NZ_MKVA01000002.1	hserlactone
GCF_001899075.1	NZ_MKVA01000003.1	hydrogen-cyanide
GCF_001899075.1	NZ_MKVA01000003.1	hserlactone
GCF_001899075.1	NZ_MKVA01000005.1	betalactone
GCF_001899075.1	NZ_MKVA01000005.1	terpene
GCF_001899075.1	NZ_MKVA01000006.1	hydrogen-cyanide
GCF_001899085.1	NZ_MKVB01000001.1	terpene
GCF_001899085.1	NZ_MKVB01000001.1	thioamitides
GCF_001899085.1	NZ_MKVB01000002.1	redox-cofactor
GCF_001899085.1	NZ_MKVB01000002.1	thioamitides
GCF_001899085.1	NZ_MKVB01000003.1	LAP
GCF_001899085.1	NZ_MKVB01000006.1	RRE-containing
GCF_002949085.1	NZ_CP026747.1	RiPP-like
GCF_002949085.1	NZ_CP026747.1	hserlactone
GCF_002949085.1	NZ_CP026747.1	hserlactone
GCF_002949085.1	NZ_CP026747.1	betalactone
GCF_002949085.1	NZ_CP026747.1	terpene
GCF_002949085.1	NZ_CP026747.1	ectoine
GCF_003056345.1	NZ_PYWB01000001.1	NRPS-like;T1PKS
GCF_003056345.1	NZ_PYWB01000014.1	terpene
GCF_003056345.1	NZ_PYWB01000002.1	terpene
GCF_003056345.1	NZ_PYWB01000003.1	betalactone
GCF_003056345.1	NZ_PYWB01000008.1	hserlactone
GCF_003056355.1	NZ_PYVW01000001.1	redox-cofactor
GCF_003056355.1	NZ_PYVW01000012.1	hserlactone
GCF_003056355.1	NZ_PYVW01000018.1	betalactone
GCF_003056355.1	NZ_PYVW01000002.1	hserlactone
GCF_003056355.1	NZ_PYVW01000009.1	terpene
GCF_003056405.1	NZ_PYVZ01000001.1	hserlactone
GCF_003056405.1	NZ_PYVZ01000013.1	RiPP-like
GCF_003056405.1	NZ_PYVZ01000019.1	betalactone
GCF_003056405.1	NZ_PYVZ01000006.1	terpene
GCF_003056405.1	NZ_PYVZ01000007.1	ectoine
GCF_003056405.1	NZ_PYVZ01000009.1	hserlactone
GCF_004005995.1	NZ_CP034767.1	RRE-containing;lassopeptide
GCF_004005995.1	NZ_CP034767.1	terpene
GCF_004005995.1	NZ_CP034767.1	hserlactone
