accession	contig	region_number	max_mibig_similarity	top_mibig_hit	top_mibig_description	top_mibig_cluster_type	top_hit_blast_score	top_hit_n_homologous_genes	top_hit_core_gene_hits	novelty_category
GCF_000735585.1	NZ_JNNO01000008.1	1	0				0.0	0	0	novel
GCF_000735585.1	NZ_JNNO01000016.1	1	25	BGC0001131	ambactin	NRP	529.0	2	0	related
GCF_000735585.1	NZ_JNNO01000023.1	1	0				0.0	0	0	novel
GCF_000735585.1	NZ_JNNO01000034.1	1	0				0.0	0	0	novel
GCF_000735585.1	NZ_JNNO01000044.1	1	0				0.0	0	0	novel
GCF_000743575.1	NZ_JQGC01000003.1	1	0				0.0	0	0	novel
GCF_000743575.1	NZ_JQGC01000006.1	1	0				0.0	0	0	novel
GCF_000743575.1	NZ_JQGC01000010.1	1	0				0.0	0	0	novel
GCF_000743575.1	NZ_JQGC01000019.1	1	0				0.0	0	0	novel
GCF_000743575.1	NZ_JQGC01000025.1	1	3	BGC0000268	Sch-47554/Sch-47555	Polyketide	661.0	2	0	related
GCF_000743575.1	NZ_JQGC01000033.1	1	10	BGC0001215	conglobatin	NRP	836.0	2	0	related
GCF_000743575.1	NZ_JQGC01000048.1	1	0				0.0	0	0	novel
GCF_000969445.1	NZ_JZEY01000054.1	1	0				0.0	0	0	novel
GCF_000969445.1	NZ_JZEY01000054.1	2	0				0.0	0	0	novel
GCF_000969445.1	NZ_JZEY01000054.1	3	0				0.0	0	0	novel
GCF_000969445.1	NZ_JZEY01000061.1	1	100	BGC0000856	ectoine	Other	1226.0	4	1	known
GCF_000969445.1	NZ_JZEY01000061.1	2	0				0.0	0	0	novel
GCF_000970435.1	NZ_LAJF01000101.1	1	22	BGC0000025	avermectin	Polyketide	568.0	2	0	related
GCF_000970435.1	NZ_LAJF01000036.1	1	0				0.0	0	0	novel
GCF_000970435.1	NZ_LAJF01000040.1	1	0				0.0	0	0	novel
GCF_000970435.1	NZ_LAJF01000054.1	1	0				0.0	0	0	novel
GCF_000970435.1	NZ_LAJF01000062.1	1	0				0.0	0	0	novel
GCF_000970435.1	NZ_LAJF01000076.1	1	100	BGC0000856	ectoine	Other	1205.0	4	1	known
GCF_000970435.1	NZ_LAJF01000076.1	2	0				0.0	0	0	novel
GCF_000970435.1	NZ_LAJF01000089.1	1	0				0.0	0	0	novel
GCF_000970435.1	NZ_LAJF01000091.1	1	8	BGC0000433	surfactin	NRP:Lipopeptide	432.0	2	0	related
GCF_000970455.1	NZ_LAJG01000014.1	1	0				0.0	0	0	novel
GCF_000970455.1	NZ_LAJG01000014.1	2	0				0.0	0	0	novel
GCF_000970455.1	NZ_LAJG01000014.1	3	0				0.0	0	0	novel
GCF_000970455.1	NZ_LAJG01000022.1	1	100	BGC0000656	zeaxanthin	Terpene	1333.0	3	2	known
GCF_000970455.1	NZ_LAJG01000048.1	1	0				0.0	0	0	novel
GCF_000971295.1	NZ_LANJ01000011.1	1	0				0.0	0	0	novel
GCF_000971295.1	NZ_LANJ01000004.1	1	0				0.0	0	0	novel
GCF_000971295.1	NZ_LANJ01000045.1	1	0				0.0	0	0	novel
GCF_001402915.1	NZ_CP012945.1	1	0				0.0	0	0	novel
GCF_001402915.1	NZ_CP012945.1	2	0				0.0	0	0	novel
GCF_001402915.1	NZ_CP012945.1	3	33	BGC0000323	cichofactin A/cichofactin B	NRP:Lipopeptide	849.0	2	0	related
GCF_001402915.1	NZ_CP012945.1	4	0				0.0	0	0	novel
GCF_001402915.1	NZ_CP012945.1	5	0				0.0	0	0	novel
GCF_001421945.1	NZ_LMLO01000002.1	1	0				0.0	0	0	novel
GCF_001421945.1	NZ_LMLO01000012.1	1	0				0.0	0	0	novel
GCF_001421945.1	NZ_LMLO01000012.1	2	0				0.0	0	0	novel
GCF_001421945.1	NZ_LMLO01000018.1	1	0				0.0	0	0	novel
GCF_001421945.1	NZ_LMLO01000019.1	1	100	BGC0001680	N-acyl alanine	Other	181.0	1	1	known
GCF_001421945.1	NZ_LMLO01000024.1	1	0				0.0	0	0	novel
GCF_001424865.1	NZ_LMCR01000015.1	1	0				0.0	0	0	novel
GCF_001424865.1	NZ_LMCR01000016.1	1	0				0.0	0	0	novel
GCF_001424865.1	NZ_LMCR01000017.1	1	0				0.0	0	0	novel
GCF_001424865.1	NZ_LMCR01000017.1	2	0				0.0	0	0	novel
GCF_001424865.1	NZ_LMCR01000019.1	1	18	BGC0000947	vibrioferrin	Other	485.0	2	0	related
GCF_001424865.1	NZ_LMCR01000021.1	1	33	BGC0000323	cichofactin A/cichofactin B	NRP:Lipopeptide	848.0	2	0	related
GCF_001425235.1	NZ_LMEA01000010.1	1	0				0.0	0	0	novel
GCF_001425235.1	NZ_LMEA01000010.1	2	0				0.0	0	0	novel
GCF_001425235.1	NZ_LMEA01000011.1	1	0				0.0	0	0	novel
GCF_001425235.1	NZ_LMEA01000011.1	2	0				0.0	0	0	novel
GCF_001425235.1	NZ_LMEA01000012.1	1	33	BGC0000323	cichofactin A/cichofactin B	NRP:Lipopeptide	841.0	2	0	related
GCF_001425235.1	NZ_LMEA01000012.1	2	18	BGC0000947	vibrioferrin	Other	487.0	2	0	related
GCF_001425445.1	NZ_LMQU01000003.1	1	0				0.0	0	0	novel
GCF_001425445.1	NZ_LMQU01000010.1	1	100	BGC0001680	N-acyl alanine	Other	181.0	1	1	known
GCF_001425445.1	NZ_LMQU01000011.1	1	0				0.0	0	0	novel
GCF_001425445.1	NZ_LMQU01000011.1	2	0				0.0	0	0	novel
GCF_001425445.1	NZ_LMQU01000013.1	1	0				0.0	0	0	novel
GCF_001425445.1	NZ_LMQU01000014.1	1	0				0.0	0	0	novel
GCF_001426345.1	NZ_LMEM01000001.1	1	1	BGC0000413	Pf-5 pyoverdine	NRP	121.0	2	0	related
GCF_001426345.1	NZ_LMEM01000009.1	1	0				0.0	0	0	novel
GCF_001426345.1	NZ_LMEM01000010.1	1	0				0.0	0	0	novel
GCF_001426345.1	NZ_LMEM01000013.1	1	30	BGC0002476	enterobactin	NRP	896.0	3	0	related
GCF_001426345.1	NZ_LMEM01000015.1	1	0				0.0	0	0	novel
GCF_001427605.1	NZ_LMGZ01000004.1	1	0				0.0	0	0	novel
GCF_001427605.1	NZ_LMGZ01000018.1	1	0				0.0	0	0	novel
GCF_001427605.1	NZ_LMGZ01000019.1	1	0				0.0	0	0	novel
GCF_001427605.1	NZ_LMGZ01000021.1	1	0				0.0	0	0	novel
GCF_001427605.1	NZ_LMGZ01000022.1	1	30	BGC0002476	enterobactin	NRP	900.0	3	0	related
GCF_001427605.1	NZ_LMGZ01000023.1	1	0				0.0	0	0	novel
GCF_001427875.1	NZ_LMHK01000001.1	1	10	BGC0001215	conglobatin	NRP	829.0	2	0	related
GCF_001427875.1	NZ_LMHK01000001.1	2	0				0.0	0	0	novel
GCF_001427875.1	NZ_LMHK01000002.1	1	0				0.0	0	0	novel
GCF_001427875.1	NZ_LMHK01000003.1	1	0				0.0	0	0	novel
GCF_001650025.1	NZ_LVVY01000070.1	1	0				0.0	0	0	novel
GCF_001650025.1	NZ_LVVY01000098.1	1	0				0.0	0	0	novel
GCF_001899045.1	NZ_MKUY01000003.1	1	0				0.0	0	0	novel
GCF_001899045.1	NZ_MKUY01000003.1	2	0				0.0	0	0	novel
GCF_001899045.1	NZ_MKUY01000004.1	1	27	BGC0002494	vibriobactin	NRP	934.0	3	0	related
GCF_001899045.1	NZ_MKUY01000005.1	1	0				0.0	0	0	novel
GCF_001899065.1	NZ_MKUZ01000008.1	1	0				0.0	0	0	novel
GCF_001899065.1	NZ_MKUZ01000013.1	1	0				0.0	0	0	novel
GCF_001899065.1	NZ_MKUZ01000030.1	1	0				0.0	0	0	novel
GCF_001899075.1	NZ_MKVA01000002.1	1	0				0.0	0	0	novel
GCF_001899075.1	NZ_MKVA01000003.1	1	0				0.0	0	0	novel
GCF_001899075.1	NZ_MKVA01000003.1	2	0				0.0	0	0	novel
GCF_001899075.1	NZ_MKVA01000005.1	1	0				0.0	0	0	novel
GCF_001899075.1	NZ_MKVA01000005.1	2	0				0.0	0	0	novel
GCF_001899075.1	NZ_MKVA01000006.1	1	0				0.0	0	0	novel
GCF_001899085.1	NZ_MKVB01000001.1	1	0				0.0	0	0	novel
GCF_001899085.1	NZ_MKVB01000001.1	2	0				0.0	0	0	novel
GCF_001899085.1	NZ_MKVB01000002.1	1	0				0.0	0	0	novel
GCF_001899085.1	NZ_MKVB01000002.1	2	0				0.0	0	0	novel
GCF_001899085.1	NZ_MKVB01000003.1	1	0				0.0	0	0	novel
GCF_001899085.1	NZ_MKVB01000006.1	1	33	BGC0000435	syringafactin	NRP	853.0	2	0	related
GCF_002949085.1	NZ_CP026747.1	1	0				0.0	0	0	novel
GCF_002949085.1	NZ_CP026747.1	2	0				0.0	0	0	novel
GCF_002949085.1	NZ_CP026747.1	3	0				0.0	0	0	novel
GCF_002949085.1	NZ_CP026747.1	4	0				0.0	0	0	novel
GCF_002949085.1	NZ_CP026747.1	5	0				0.0	0	0	novel
GCF_002949085.1	NZ_CP026747.1	6	100	BGC0000856	ectoine	Other	1224.0	4	1	known
GCF_003056345.1	NZ_PYWB01000001.1	1	0				0.0	0	0	novel
GCF_003056345.1	NZ_PYWB01000014.1	1	8	BGC0000350	ET-743	NRP:Beta-lactam	540.0	2	0	related
GCF_003056345.1	NZ_PYWB01000002.1	1	100	BGC0000656	zeaxanthin	Terpene	1346.0	3	2	known
GCF_003056345.1	NZ_PYWB01000003.1	1	0				0.0	0	0	novel
GCF_003056345.1	NZ_PYWB01000008.1	1	0				0.0	0	0	novel
GCF_003056355.1	NZ_PYVW01000001.1	1	0				0.0	0	0	novel
GCF_003056355.1	NZ_PYVW01000012.1	1	0				0.0	0	0	novel
GCF_003056355.1	NZ_PYVW01000018.1	1	0				0.0	0	0	novel
GCF_003056355.1	NZ_PYVW01000002.1	1	0				0.0	0	0	novel
GCF_003056355.1	NZ_PYVW01000009.1	1	8	BGC0000350	ET-743	NRP:Beta-lactam	545.0	2	0	related
GCF_003056405.1	NZ_PYVZ01000001.1	1	0				0.0	0	0	novel
GCF_003056405.1	NZ_PYVZ01000013.1	1	0				0.0	0	0	novel
GCF_003056405.1	NZ_PYVZ01000019.1	1	0				0.0	0	0	novel
GCF_003056405.1	NZ_PYVZ01000006.1	1	0				0.0	0	0	novel
GCF_003056405.1	NZ_PYVZ01000007.1	1	100	BGC0000856	ectoine	Other	1224.0	4	1	known
GCF_003056405.1	NZ_PYVZ01000009.1	1	0				0.0	0	0	novel
GCF_004005995.1	NZ_CP034767.1	1	25	BGC0001380	salecan	Saccharide	1094.0	4	0	related
GCF_004005995.1	NZ_CP034767.1	2	0				0.0	0	0	novel
GCF_004005995.1	NZ_CP034767.1	3	0				0.0	0	0	novel
GCF_004005995.1	NZ_CP034767.1	4	100	BGC0000656	zeaxanthin	Terpene	1329.0	3	2	known
GCF_004005995.1	NZ_CP034767.1	5	0				0.0	0	0	novel
GCF_004005995.1	NZ_CP034767.1	6	0				0.0	0	0	novel
GCF_005222805.1	NZ_STGC01000005.1	1	0				0.0	0	0	novel
GCF_005222805.1	NZ_STGC01000005.1	2	4	BGC0002009	kanglemycin A/kanglemycin V1/kanglemycin V2	Polyketide	905.0	2	0	related
GCF_005222805.1	NZ_STGC01000005.1	3	0				0.0	0	0	novel
GCF_005222805.1	NZ_STGC01000005.1	4	0				0.0	0	0	novel
GCF_005222805.1	NZ_STGC01000005.1	5	0				0.0	0	0	novel
GCF_005222805.1	NZ_STGC01000005.1	6	0				0.0	0	0	novel
GCF_005222805.1	NZ_STGC01000002.1	1	0				0.0	0	0	novel
GCF_007859655.1	NZ_CP042304.1	1	0				0.0	0	0	novel
GCF_007859655.1	NZ_CP042304.1	2	0				0.0	0	0	novel
GCF_007859655.1	NZ_CP042304.1	3	0				0.0	0	0	novel
GCF_007859655.1	NZ_CP042304.1	4	0				0.0	0	0	novel
