Record	GBK	Record_Type	Record_Number	CC	Family	contig	region_number	accession
NZ_FQVC01000008.1.region001.gbk_region_1	NZ_FQVC01000008.1.region001	region	1	291	FAM_00126	NZ_FQVC01000008.1	1	GCF_900128975.1
NZ_LAJF01000091.1.region001.gbk_region_1	NZ_LAJF01000091.1.region001	region	1	291	FAM_00126	NZ_LAJF01000091.1	1	GCF_000970435.1
NZ_FXWK01000002.1.region003.gbk_region_3	NZ_FXWK01000002.1.region003	region	3	1980	FAM_00127	NZ_FXWK01000002.1	3	GCF_900177655.1
NZ_JBHRYD010000007.1.region002.gbk_region_2	NZ_JBHRYD010000007.1.region002	region	2	2301	FAM_00128	NZ_JBHRYD010000007.1	2	GCF_042648785.1
NZ_JBTLRJ010000001.1.region003.gbk_region_3	NZ_JBTLRJ010000001.1.region003	region	3	10828	FAM_00129	NZ_JBTLRJ010000001.1	3	GCF_054482695.1
NZ_JNNO01000034.1.region001.gbk_region_1	NZ_JNNO01000034.1.region001	region	1	6552	FAM_00203	NZ_JNNO01000034.1	1	GCF_000735585.1
NZ_CP146608.1.region006.gbk_region_6	NZ_CP146608.1.region006	region	6	9529	FAM_00204	NZ_CP146608.1	6	GCF_037113415.1
NZ_JACYFU010000003.1.region001.gbk_region_1	NZ_JACYFU010000003.1.region001	region	1	2906	FAM_00201	NZ_JACYFU010000003.1	1	GCF_014837245.1
NZ_CP045422.1.region003.gbk_region_3	NZ_CP045422.1.region003	region	3	6694	FAM_00202	NZ_CP045422.1	3	GCF_014926585.1
NZ_JAMYXP010000013.1.region001.gbk_region_1	NZ_JAMYXP010000013.1.region001	region	1	58	FAM_00110	NZ_JAMYXP010000013.1	1	GCF_024158985.1
NZ_JACIEW010000009.1.region001.gbk_region_1	NZ_JACIEW010000009.1.region001	region	1	58	FAM_00110	NZ_JACIEW010000009.1	1	GCF_014197055.1
NZ_LMEA01000012.1.region002.gbk_region_2	NZ_LMEA01000012.1.region002	region	2	5203	FAM_00111	NZ_LMEA01000012.1	2	GCF_001425235.1
NZ_CAXUPH020000001.1.region002.gbk_region_2	NZ_CAXUPH020000001.1.region002	region	2	5203	FAM_00111	NZ_CAXUPH020000001.1	2	GCF_964252795.1
NZ_LMCR01000019.1.region001.gbk_region_1	NZ_LMCR01000019.1.region001	region	1	5203	FAM_00111	NZ_LMCR01000019.1	1	GCF_001424865.1
NZ_JBXAPX010000002.1.region002.gbk_region_2	NZ_JBXAPX010000002.1.region002	region	2	5203	FAM_00111	NZ_JBXAPX010000002.1	2	GCF_058806655.1
NZ_JAQGJV010000042.1.region001.gbk_region_1	NZ_JAQGJV010000042.1.region001	region	1	5578	FAM_00112	NZ_JAQGJV010000042.1	1	GCF_028290435.1
NZ_JBEPOL010000002.1.region001.gbk_region_1	NZ_JBEPOL010000002.1.region001	region	1	5578	FAM_00112	NZ_JBEPOL010000002.1	1	GCF_040546795.1
NZ_JBFUFI010000008.1.region001.gbk_region_1	NZ_JBFUFI010000008.1.region001	region	1	5655	FAM_00113	NZ_JBFUFI010000008.1	1	GCF_056403495.1
NZ_JBFUCQ010000009.1.region001.gbk_region_1	NZ_JBFUCQ010000009.1.region001	region	1	5655	FAM_00113	NZ_JBFUCQ010000009.1	1	GCF_056405135.1
NZ_JBFUGO010000008.1.region001.gbk_region_1	NZ_JBFUGO010000008.1.region001	region	1	5655	FAM_00113	NZ_JBFUGO010000008.1	1	GCF_056402875.1
NZ_JBTSEP010000065.1.region001.gbk_region_1	NZ_JBTSEP010000065.1.region001	region	1	8320	FAM_00114	NZ_JBTSEP010000065.1	1	GCF_054605195.1
NZ_JBVKGV010000026.1.region001.gbk_region_1	NZ_JBVKGV010000026.1.region001	region	1	8320	FAM_00114	NZ_JBVKGV010000026.1	1	GCF_055633315.1
