accession	contig	region_number	start	end	products	n_candidate_clusters	candidate_cluster_numbers	contig_edge
GCF_000735585.1	NZ_JNNO01000008.1	1	101072	115033	terpene	1	1	True
GCF_000735585.1	NZ_JNNO01000016.1	1	7349	29606	redox-cofactor	1	1	True
GCF_000735585.1	NZ_JNNO01000023.1	1	116389	148083	betalactone	1	1	False
GCF_000735585.1	NZ_JNNO01000034.1	1	213003	236561	RiPP-like;hydrogen-cyanide	3	1;2;3	False
GCF_000735585.1	NZ_JNNO01000044.1	1	29188	49644	hserlactone	1	1	False
GCF_000743575.1	NZ_JQGC01000003.1	1	56287	76971	hserlactone	1	1	False
GCF_000743575.1	NZ_JQGC01000006.1	1	24886	45486	hserlactone	1	1	False
GCF_000743575.1	NZ_JQGC01000010.1	1	36958	57804	terpene	1	1	False
GCF_000743575.1	NZ_JQGC01000019.1	1	73272	93731	hserlactone	1	1	False
GCF_000743575.1	NZ_JQGC01000025.1	1	23921	43406	hserlactone	1	1	True
GCF_000743575.1	NZ_JQGC01000033.1	1	0	28888	betalactone	1	1	True
GCF_000743575.1	NZ_JQGC01000048.1	1	8516	20614	hserlactone	1	1	True
GCF_000969445.1	NZ_JZEY01000054.1	1	1158684	1179305	hserlactone	1	1	False
GCF_000969445.1	NZ_JZEY01000054.1	2	1201623	1222469	terpene	1	2	False
GCF_000969445.1	NZ_JZEY01000054.1	3	1855223	1887841	betalactone	1	3	False
GCF_000969445.1	NZ_JZEY01000061.1	1	266691	277084	ectoine	1	1	False
GCF_000969445.1	NZ_JZEY01000061.1	2	298624	319089	hserlactone	1	2	False
GCF_000970435.1	NZ_LAJF01000101.1	1	58438	120923	T1PKS;NRPS-like	3	1;2;3	False
GCF_000970435.1	NZ_LAJF01000036.1	1	117829	138267	hserlactone	1	1	False
GCF_000970435.1	NZ_LAJF01000040.1	1	20297	40915	hserlactone	1	1	False
GCF_000970435.1	NZ_LAJF01000054.1	1	0	23487	acyl_amino_acids;hserlactone	1	1	True
GCF_000970435.1	NZ_LAJF01000062.1	1	76934	109151	betalactone	1	1	False
GCF_000970435.1	NZ_LAJF01000076.1	1	36732	47125	ectoine	1	1	False
GCF_000970435.1	NZ_LAJF01000076.1	2	105942	118785	hydrogen-cyanide	1	2	False
GCF_000970435.1	NZ_LAJF01000089.1	1	127216	148062	terpene	1	1	False
GCF_000970435.1	NZ_LAJF01000091.1	1	115036	157487	NRPS-like	1	1	False
GCF_000970455.1	NZ_LAJG01000014.1	1	80525	101371	terpene	1	1	False
GCF_000970455.1	NZ_LAJG01000014.1	2	278710	309362	betalactone	1	2	False
GCF_000970455.1	NZ_LAJG01000014.1	3	751404	773271	thioamitides	1	3	False
GCF_000970455.1	NZ_LAJG01000022.1	1	26966	50555	terpene	1	1	False
GCF_000970455.1	NZ_LAJG01000048.1	1	268989	289448	hserlactone	1	1	False
GCF_000971295.1	NZ_LANJ01000011.1	1	287183	308029	terpene	1	1	False
GCF_000971295.1	NZ_LANJ01000004.1	1	67715	88228	hserlactone	1	1	False
GCF_000971295.1	NZ_LANJ01000045.1	1	76162	107479	betalactone	1	1	False
GCF_001402915.1	NZ_CP012945.1	1	1182416	1204227	thioamitides	1	1	False
GCF_001402915.1	NZ_CP012945.1	2	1424638	1446925	redox-cofactor	1	2	False
GCF_001402915.1	NZ_CP012945.1	3	3286188	3306458	RRE-containing	1	3	False
GCF_001402915.1	NZ_CP012945.1	4	4284736	4305576	terpene	1	4	False
GCF_001402915.1	NZ_CP012945.1	5	4826730	4848616	thioamitides	1	5	False
GCF_001421945.1	NZ_LMLO01000002.1	1	340056	360743	hserlactone	1	1	False
GCF_001421945.1	NZ_LMLO01000012.1	1	461317	481818	hserlactone	1	1	False
GCF_001421945.1	NZ_LMLO01000012.1	2	545928	567715	thioamitides	1	2	False
GCF_001421945.1	NZ_LMLO01000018.1	1	54772	75618	terpene	1	1	False
GCF_001421945.1	NZ_LMLO01000019.1	1	111328	172105	acyl_amino_acids	1	1	False
GCF_001421945.1	NZ_LMLO01000024.1	1	530082	556199	betalactone	1	1	True
GCF_001424865.1	NZ_LMCR01000015.1	1	1888	22728	terpene	1	1	True
GCF_001424865.1	NZ_LMCR01000016.1	1	302624	324513	thioamitides	1	1	False
GCF_001424865.1	NZ_LMCR01000017.1	1	67930	90217	redox-cofactor	1	1	False
GCF_001424865.1	NZ_LMCR01000017.1	2	339545	364912	thiopeptide;thioamitides	1	2	False
GCF_001424865.1	NZ_LMCR01000019.1	1	487657	528740	T3PKS	1	1	False
GCF_001424865.1	NZ_LMCR01000021.1	1	200513	220783	RRE-containing	1	1	False
GCF_001425235.1	NZ_LMEA01000010.1	1	91590	113877	redox-cofactor	1	1	False
GCF_001425235.1	NZ_LMEA01000010.1	2	364021	389388	thiopeptide;thioamitides	1	2	False
