GCF	accession	contig	region_number	start	end	products	candidate_cluster_numbers	contig_edge	bgc_class	GBK	Record	source_file
FAM_00260	GCF_014652635.1	NZ_BMZE01000002.1	2	824555	865734	T3PKS	2	False	PKS	NZ_BMZE01000002.1.region002	NZ_BMZE01000002.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/PKS/PKS_clustering_c0.7.tsv
FAM_00260	GCF_014926585.1	NZ_CP045422.1	6	3392789	3433857	T3PKS	8	False	PKS	NZ_CP045422.1.region006	NZ_CP045422.1.region006.gbk_region_6	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/PKS/PKS_clustering_c0.7.tsv
FAM_00260	GCF_028290435.1	NZ_JAQGJV010000042.1	1	8884	49970	T3PKS	1	False	PKS	NZ_JAQGJV010000042.1.region001	NZ_JAQGJV010000042.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/PKS/PKS_clustering_c0.7.tsv
FAM_00260	GCF_028290625.1	NZ_JAQGJM010000022.1	1	89452	130538	T3PKS	1	False	PKS	NZ_JAQGJM010000022.1.region001	NZ_JAQGJM010000022.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/PKS/PKS_clustering_c0.7.tsv
FAM_00260	GCF_040546795.1	NZ_JBEPOL010000002.1	1	450826	491912	T3PKS	1	False	PKS	NZ_JBEPOL010000002.1.region001	NZ_JBEPOL010000002.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/PKS/PKS_clustering_c0.7.tsv
FAM_00260	GCF_040546795.1	NZ_JBEPOL010000009.1	1	88150	129236	T3PKS	1	False	PKS	NZ_JBEPOL010000009.1.region001	NZ_JBEPOL010000009.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/PKS/PKS_clustering_c0.7.tsv
FAM_00260	GCF_900112505.1	NZ_FOMB01000021.1	2	30172	71240	T3PKS	2	False	PKS	NZ_FOMB01000021.1.region002	NZ_FOMB01000021.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/PKS/PKS_clustering_c0.7.tsv
FAM_00260	GCF_900112505.1	NZ_FOMB01000025.1	1	15213	44635	T3PKS	1	True	PKS	NZ_FOMB01000025.1.region001	NZ_FOMB01000025.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/PKS/PKS_clustering_c0.7.tsv
FAM_00260	GCF_900112505.1	NZ_FOMB01000051.1	1	0	15503	T3PKS	1	True	PKS	NZ_FOMB01000051.1.region001	NZ_FOMB01000051.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/PKS/PKS_clustering_c0.7.tsv
FAM_00260	GCF_965229025.1	NZ_OZ245853.1	2	1421885	1462950	T3PKS	2	False	PKS	NZ_OZ245853.1.region002	NZ_OZ245853.1.region002.gbk_region_2	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/PKS/PKS_clustering_c0.7.tsv
FAM_00321	GCF_000735585.1	NZ_JNNO01000008.1	1	101072	115033	terpene	1	True	terpene	NZ_JNNO01000008.1.region001	NZ_JNNO01000008.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
FAM_00321	GCF_000743575.1	NZ_JQGC01000010.1	1	36958	57804	terpene	1	False	terpene	NZ_JQGC01000010.1.region001	NZ_JQGC01000010.1.region001.gbk_region_1	bigscape_output_multicutoff/output_files/Devosia_110_multicutoff_2026-08-10_17-33-43_c0.7/terpene/terpene_clustering_c0.7.tsv
