Record	GBK	Record_Type	Record_Number	CC	Family	bgc_class	genome	Class	Category	Description	Taxonomy	GCF_ID	cutoff
NZ_FQVC01000008.1.region001.gbk_region_1	NZ_FQVC01000008.1.region001	region	1	9980	FAM_00216	NRPS	Unknown	NRPS-like	NRPS	NZ_FQVC01000008.1 Devosia limi DSM 17137, whole genome shotgun sequence	Unknown	NRPS_c0.3_famFAM_00216	0.3
NZ_LAJF01000091.1.region001.gbk_region_1	NZ_LAJF01000091.1.region001	region	1	9980	FAM_00216	NRPS	Unknown	NRPS-like	NRPS	NZ_LAJF01000091.1 Devosia limi DSM 17137 NODE_91, whole genome shotgun sequence	Unknown	NRPS_c0.3_famFAM_00216	0.3
NZ_JBTLRJ010000001.1.region003.gbk_region_3	NZ_JBTLRJ010000001.1.region003	region	3	3969	FAM_00217	NRPS	Unknown	NRPS-like	NRPS	NZ_JBTLRJ010000001.1 Devosia sp. CAU 1758 contig1, whole genome shotgun sequence	Unknown	NRPS_c0.3_famFAM_00217	0.3
NZ_FXWK01000002.1.region003.gbk_region_3	NZ_FXWK01000002.1.region003	region	3	6917	FAM_00218	NRPS	Unknown	NRPS-like	NRPS	NZ_FXWK01000002.1 Devosia lucknowensis strain L15, whole genome shotgun sequence	Unknown	NRPS_c0.3_famFAM_00218	0.3
NZ_JBHRYD010000007.1.region002.gbk_region_2	NZ_JBHRYD010000007.1.region002	region	2	7829	FAM_00219	NRPS	Unknown	NRP-metallophore.NRPS	NRPS	NZ_JBHRYD010000007.1 Devosia honganensis strain KCTC 42281 platanus_K_25_97_7, whole genome shotgun sequence	Unknown	NRPS_c0.3_famFAM_00219	0.3
NZ_CP146608.1.region006.gbk_region_6	NZ_CP146608.1.region006	region	6	3881	FAM_00582	RiPP.other	Unknown	hserlactone.thioamitides	RiPP.other	NZ_CP146608.1 Devosia sp. XK-2 chromosome, complete genome	Unknown	RiPP.other_c0.3_famFAM_00582	0.3
NZ_JNNO01000034.1.region001.gbk_region_1	NZ_JNNO01000034.1.region001	region	1	10477	FAM_00583	RiPP.other	Unknown	RiPP-like.hydrogen-cyanide	RiPP.other	NZ_JNNO01000034.1 Devosia sp. LC5 contig4, whole genome shotgun sequence	Unknown	RiPP.other_c0.3_famFAM_00583	0.3
NZ_CP045422.1.region003.gbk_region_3	NZ_CP045422.1.region003	region	3	31	FAM_00309	PKS.other	Unknown	T3PKS.hserlactone	PKS.other	NZ_CP045422.1 Devosia beringensis strain S02 chromosome, complete genome	Unknown	PKS.other_c0.3_famFAM_00309	0.3
NZ_JACYFU010000003.1.region001.gbk_region_1	NZ_JACYFU010000003.1.region001	region	1	3778	FAM_00310	PKS.other	Unknown	T3PKS.hserlactone	PKS.other	NZ_JACYFU010000003.1 Devosia oryzisoli strain PTR5 contig3, whole genome shotgun sequence	Unknown	PKS.other_c0.3_famFAM_00310	0.3
NZ_JAQGJV010000042.1.region001.gbk_region_1	NZ_JAQGJV010000042.1.region001	region	1	811	FAM_00289	PKS	Unknown	T3PKS	PKS	NZ_JAQGJV010000042.1 MAG: Devosia sp. isolate RYN_494 scaffold_4231403, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00289	0.3
NZ_JBEPOL010000002.1.region001.gbk_region_1	NZ_JBEPOL010000002.1.region001	region	1	811	FAM_00289	PKS	Unknown	T3PKS	PKS	NZ_JBEPOL010000002.1 Devosia sp. UYZn731 Ga0493902_02, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00289	0.3
NZ_JACIEW010000009.1.region001.gbk_region_1	NZ_JACIEW010000009.1.region001	region	1	1251	FAM_00290	PKS	Unknown	T1PKS	PKS	NZ_JACIEW010000009.1 Devosia subaequoris strain DSM 23447 Ga0373328_09, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00290	0.3
NZ_JAMYXP010000013.1.region001.gbk_region_1	NZ_JAMYXP010000013.1.region001	region	1	1251	FAM_00290	PKS	Unknown	T1PKS	PKS	NZ_JAMYXP010000013.1 Devosia subaequoris strain HST3-14 Scaffold13, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00290	0.3
NZ_JBVKGV010000026.1.region001.gbk_region_1	NZ_JBVKGV010000026.1.region001	region	1	3092	FAM_00291	PKS	Unknown	T1PKS	PKS	NZ_JBVKGV010000026.1 MAG: Devosia sp. isolate ML34-006-05 ML34_006_NODE_354_length_48541_cov_2.462924, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00291	0.3
NZ_JBTSEP010000065.1.region001.gbk_region_1	NZ_JBTSEP010000065.1.region001	region	1	3092	FAM_00291	PKS	Unknown	T1PKS	PKS	NZ_JBTSEP010000065.1 MAG: Devosia sp. isolate ML34-012-05 ML34_012_NODE_818_length_10192_cov_1.403279, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00291	0.3
NZ_JBFUGO010000008.1.region001.gbk_region_1	NZ_JBFUGO010000008.1.region001	region	1	3319	FAM_00292	PKS	Unknown	T3PKS	PKS	NZ_JBFUGO010000008.1 Devosia sp. P3_B2 scaffold_7, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00292	0.3
NZ_JBFUCQ010000009.1.region001.gbk_region_1	NZ_JBFUCQ010000009.1.region001	region	1	3319	FAM_00292	PKS	Unknown	T3PKS	PKS	NZ_JBFUCQ010000009.1 Devosia sp. P1_H9 scaffold_8, whole genome shotgun sequence	Unknown	PKS_c0.3_famFAM_00292	0.3
