cutoff	GCF_ID	bgc_class	n_BGCs	n_genomes	pct_genomes	category	descriptions	member_GBKs
0.3	NRPS.PKS_c0.3_famFAM_00173	NRPS.PKS	2	1	0.9	rare	NZ_FQVC01000001.1 Devosia limi DSM 17137, whole genome shotgun sequence; NZ_LAJF01000101.1 Devosia limi DSM 17137 NODE_101, whole genome shotgun sequence	NZ_LAJF01000101.1.region001; NZ_FQVC01000001.1.region001
0.3	NRPS.PKS_c0.3_famFAM_00174	NRPS.PKS	2	1	0.9	rare	NZ_JBTMWU010000004.1 Devosia sp. A449 Scaffold4, whole genome shotgun sequence; NZ_JBTMWV010000025.1 Devosia sp. A369 Scaffold25, whole genome shotgun sequence	NZ_JBTMWU010000004.1.region001; NZ_JBTMWV010000025.1.region001
0.3	NRPS.PKS_c0.3_famFAM_00175	NRPS.PKS	1	1	0.9	rare	NZ_JACDXV010000002.1 Devosia faecipullorum strain CC-YST696 contig02, whole genome shotgun sequence	NZ_JACDXV010000002.1.region002
0.3	NRPS.PKS_c0.3_famFAM_00176	NRPS.PKS	1	1	0.9	rare	NZ_PYWB01000001.1 Devosia submarina strain JCM 18935 scaffold1, whole genome shotgun sequence	NZ_PYWB01000001.1.region001
0.3	NRPS_c0.3_famFAM_00216	NRPS	2	1	0.9	rare	NZ_FQVC01000008.1 Devosia limi DSM 17137, whole genome shotgun sequence; NZ_LAJF01000091.1 Devosia limi DSM 17137 NODE_91, whole genome shotgun sequence	NZ_FQVC01000008.1.region001; NZ_LAJF01000091.1.region001
0.3	NRPS_c0.3_famFAM_00217	NRPS	1	1	0.9	rare	NZ_JBTLRJ010000001.1 Devosia sp. CAU 1758 contig1, whole genome shotgun sequence	NZ_JBTLRJ010000001.1.region003
0.3	NRPS_c0.3_famFAM_00218	NRPS	1	1	0.9	rare	NZ_FXWK01000002.1 Devosia lucknowensis strain L15, whole genome shotgun sequence	NZ_FXWK01000002.1.region003
0.3	NRPS_c0.3_famFAM_00219	NRPS	1	1	0.9	rare	NZ_JBHRYD010000007.1 Devosia honganensis strain KCTC 42281 platanus_K_25_97_7, whole genome shotgun sequence	NZ_JBHRYD010000007.1.region002
0.3	PKS.other_c0.3_famFAM_00309	PKS.other	1	1	0.9	rare	NZ_CP045422.1 Devosia beringensis strain S02 chromosome, complete genome	NZ_CP045422.1.region003
0.3	PKS.other_c0.3_famFAM_00310	PKS.other	1	1	0.9	rare	NZ_JACYFU010000003.1 Devosia oryzisoli strain PTR5 contig3, whole genome shotgun sequence	NZ_JACYFU010000003.1.region001
0.3	PKS_c0.3_famFAM_00289	PKS	2	1	0.9	rare	NZ_JAQGJV010000042.1 MAG: Devosia sp. isolate RYN_494 scaffold_4231403, whole genome shotgun sequence; NZ_JBEPOL010000002.1 Devosia sp. UYZn731 Ga0493902_02, whole genome shotgun sequence	NZ_JAQGJV010000042.1.region001; NZ_JBEPOL010000002.1.region001
0.3	PKS_c0.3_famFAM_00290	PKS	2	1	0.9	rare	NZ_JACIEW010000009.1 Devosia subaequoris strain DSM 23447 Ga0373328_09, whole genome shotgun sequence; NZ_JAMYXP010000013.1 Devosia subaequoris strain HST3-14 Scaffold13, whole genome shotgun sequence	NZ_JACIEW010000009.1.region001; NZ_JAMYXP010000013.1.region001
0.3	PKS_c0.3_famFAM_00291	PKS	2	1	0.9	rare	NZ_JBTSEP010000065.1 MAG: Devosia sp. isolate ML34-012-05 ML34_012_NODE_818_length_10192_cov_1.403279, whole genome shotgun sequence; NZ_JBVKGV010000026.1 MAG: Devosia sp. isolate ML34-006-05 ML34_006_NODE_354_length_48541_cov_2.462924, whole genome shotgun sequence	NZ_JBVKGV010000026.1.region001; NZ_JBTSEP010000065.1.region001
0.3	PKS_c0.3_famFAM_00292	PKS	3	1	0.9	rare	NZ_JBFUCQ010000009.1 Devosia sp. P1_H9 scaffold_8, whole genome shotgun sequence; NZ_JBFUFI010000008.1 Devosia sp. P2_G7 scaffold_7, whole genome shotgun sequence; NZ_JBFUGO010000008.1 Devosia sp. P3_B2 scaffold_7, whole genome shotgun sequence	NZ_JBFUGO010000008.1.region001; NZ_JBFUCQ010000009.1.region001; NZ_JBFUFI010000008.1.region001
0.3	PKS_c0.3_famFAM_00293	PKS	4	1	0.9	rare	NZ_CAXUPH020000001.1 Devosia sp. LjRoot16 LJR016c1, whole genome shotgun sequence; NZ_JBXAPX010000002.1 Devosia sp. GW821-FHT12F11 NODE_2_length_929012_cov_60.894576, whole genome shotgun sequence; NZ_LMCR01000019.1 Devosia sp. Root105 contig_7, whole genome shotgun sequence; NZ_LMEA01000012.1 Devosia sp. Root413D1 contig_7, whole genome shotgun sequence	NZ_LMEA01000012.1.region002; NZ_CAXUPH020000001.1.region002; NZ_JBXAPX010000002.1.region002; NZ_LMCR01000019.1.region001
0.3	PKS_c0.3_famFAM_00294	PKS	1	1	0.9	rare	NZ_CP045422.1 Devosia beringensis strain S02 chromosome, complete genome	NZ_CP045422.1.region006
0.3	PKS_c0.3_famFAM_00295	PKS	1	1	0.9	rare	NZ_OZ245853.1 MAG: Devosia sp. isolate 3d186a37-0bcd-4ac1-b259-f5c9590ee027 chromosome 1	NZ_OZ245853.1.region002
0.3	PKS_c0.3_famFAM_00296	PKS	1	1	0.9	rare	NZ_JAQGJM010000022.1 MAG: Devosia sp. isolate RYN_485 scaffold_3385130, whole genome shotgun sequence	NZ_JAQGJM010000022.1.region001
0.3	PKS_c0.3_famFAM_00297	PKS	1	1	0.9	rare	NZ_JBEPOL010000009.1 Devosia sp. UYZn731 Ga0493902_09, whole genome shotgun sequence	NZ_JBEPOL010000009.1.region001
0.3	PKS_c0.3_famFAM_00298	PKS	1	1	0.9	rare	NZ_FOMB01000021.1 Devosia psychrophila strain CGMCC 1.10210, whole genome shotgun sequence	NZ_FOMB01000021.1.region002
0.3	PKS_c0.3_famFAM_00299	PKS	1	1	0.9	rare	NZ_FOMB01000051.1 Devosia psychrophila strain CGMCC 1.10210, whole genome shotgun sequence	NZ_FOMB01000051.1.region001
0.3	PKS_c0.3_famFAM_00300	PKS	1	1	0.9	rare	NZ_STGC01000005.1 Devosia sp. FKR38 NODE_14_length_2742056_cov_203.257278, whole genome shotgun sequence	NZ_STGC01000005.1.region002
0.3	PKS_c0.3_famFAM_00301	PKS	1	1	0.9	rare	NZ_CP042304.1 Devosia ginsengisoli strain Gsoil 520 chromosome, complete genome	NZ_CP042304.1.region005
0.3	PKS_c0.3_famFAM_00302	PKS	1	1	0.9	rare	NZ_CP080590.1 Devosia salina strain SCS-3 chromosome, complete genome	NZ_CP080590.1.region005
0.3	PKS_c0.3_famFAM_00303	PKS	1	1	0.9	rare	NZ_FOMB01000025.1 Devosia psychrophila strain CGMCC 1.10210, whole genome shotgun sequence	NZ_FOMB01000025.1.region001
0.3	PKS_c0.3_famFAM_00304	PKS	1	1	0.9	rare	NZ_BMZE01000002.1 Devosia pacifica strain KCTC 32437 sequence2, whole genome shotgun sequence	NZ_BMZE01000002.1.region002
0.3	RiPP.other_c0.3_famFAM_00582	RiPP.other	1	1	0.9	rare	NZ_CP146608.1 Devosia sp. XK-2 chromosome, complete genome	NZ_CP146608.1.region006
0.3	RiPP.other_c0.3_famFAM_00583	RiPP.other	1	1	0.9	rare	NZ_JNNO01000034.1 Devosia sp. LC5 contig4, whole genome shotgun sequence	NZ_JNNO01000034.1.region001
0.3	RiPP_c0.3_famFAM_00113	RiPP	5	1	0.9	rare	NZ_CAXUPH020000003.1 Devosia sp. LjRoot16 LJR016c3, whole genome shotgun sequence; NZ_CP012945.1 Devosia sp. A16 chromosome, complete genome; NZ_JBXAPX010000004.1 Devosia sp. GW821-FHT12F11 NODE_4_length_517482_cov_53.795218, whole genome shotgun sequence; NZ_LMCR01000016.1 Devosia sp. Root105 contig_4, whole genome shotgun sequence; NZ_LMEA01000011.1 Devosia sp. Root413D1 contig_6, whole genome shotgun sequence	NZ_JBXAPX010000004.1.region001; NZ_LMEA01000011.1.region001; NZ_LMCR01000016.1.region001; NZ_CP012945.1.region005; NZ_CAXUPH020000003.1.region001
0.3	RiPP_c0.3_famFAM_00114	RiPP	4	1	0.9	rare	NZ_BSNG01000003.1 Devosia yakushimensis strain NBRC 103855 sequence03, whole genome shotgun sequence; NZ_CP104965.1 Devosia neptuniae strain A18/4-1 chromosome, complete genome; NZ_JBJDRE010000010.1 Devosia sp. ZW T5_3 ZW_T5_3_contig_010, whole genome shotgun sequence; NZ_JNNO01000016.1 Devosia sp. LC5 contig23, whole genome shotgun sequence	NZ_CP104965.1.region001; NZ_JBJDRE010000010.1.region001; NZ_JNNO01000016.1.region001; NZ_BSNG01000003.1.region001
0.3	RiPP_c0.3_famFAM_00115	RiPP	12	1	0.9	rare	NZ_CP026747.1 Devosia sp. I507 chromosome, complete genome; NZ_CP080590.1 Devosia salina strain SCS-3 chromosome, complete genome; NZ_CP146608.1 Devosia sp. XK-2 chromosome, complete genome; NZ_CP170082.1 Devosia sp. Naph2 chromosome, complete genome; NZ_JACIEW010000012.1 Devosia subaequoris strain DSM 23447 Ga0373328_12, whole genome shotgun sequence; NZ_JAMWDU010000006.1 Devosia ureilytica strain XJ19-45 Scaffold6, whole genome shotgun sequence; NZ_JAMYXP010000014.1 Devosia subaequoris strain HST3-14 Scaffold14, whole genome shotgun sequence; NZ_JAMZCU010000008.1 Devosia ureilytica strain XJ19-1 Scaffold8, whole genome shotgun sequence; NZ_JAVKFR010000034.1 MAG: Devosia marina isolate F1-TOW-06 k141_64042, whole genome shotgun sequence; NZ_JBTLRJ010000002.1 Devosia sp. CAU 1758 contig2, whole genome shotgun sequence; NZ_PYVZ01000013.1 Devosia indica strain IO390501 scaffold13, whole genome shotgun sequence; NZ_WQRF01000010.1 Devosia marina strain L53-10-65 NODE_10_length_77047_cov_53.918155, whole genome shotgun sequence	NZ_JBTLRJ010000002.1.region002; NZ_CP026747.1.region001; NZ_CP080590.1.region002; NZ_JAMWDU010000006.1.region001; NZ_CP170082.1.region007; NZ_WQRF01000010.1.region001; NZ_JAVKFR010000034.1.region001; NZ_CP146608.1.region003; NZ_JACIEW010000012.1.region001; NZ_JAMYXP010000014.1.region001; NZ_JAMZCU010000008.1.region001; NZ_PYVZ01000013.1.region001
0.3	RiPP_c0.3_famFAM_00116	RiPP	2	1	0.9	rare	NZ_JBTSEP010000009.1 MAG: Devosia sp. isolate ML34-012-05 ML34_012_NODE_93_length_98378_cov_7.821071, whole genome shotgun sequence; NZ_JBVKGV010000020.1 MAG: Devosia sp. isolate ML34-006-05 ML34_006_NODE_270_length_57401_cov_2.738730, whole genome shotgun sequence	NZ_JBTSEP010000009.1.region001; NZ_JBVKGV010000020.1.region001
0.3	RiPP_c0.3_famFAM_00117	RiPP	3	1	0.9	rare	NZ_JBHTMH010000001.1 Devosia equisanguinis strain CCM 8868 GCM70027366_15, whole genome shotgun sequence; NZ_MKUY01000005.1 MAG: Devosia sp. 63-57 SCNpilot_expt_1000_bf_scaffold_3, whole genome shotgun sequence; NZ_UZWD01000029.1 Devosia equisanguinis strain CIP 111628, whole genome shotgun sequence	NZ_JBHTMH010000001.1.region003; NZ_UZWD01000029.1.region001; NZ_MKUY01000005.1.region001
0.3	RiPP_c0.3_famFAM_00118	RiPP	2	1	0.9	rare	NZ_JBTSEP010000003.1 MAG: Devosia sp. isolate ML34-012-05 ML34_012_NODE_45_length_152938_cov_7.526592, whole genome shotgun sequence; NZ_JBVKGV010000033.1 MAG: Devosia sp. isolate ML34-006-05 ML34_006_NODE_583_length_35475_cov_2.597827, whole genome shotgun sequence	NZ_JBTSEP010000003.1.region001; NZ_JBVKGV010000033.1.region001
0.3	RiPP_c0.3_famFAM_00119	RiPP	2	1	0.9	rare	NZ_BSNS01000020.1 Devosia nitrariae strain NBRC 112416 sequence20, whole genome shotgun sequence; NZ_JBHLYO010000020.1 Devosia nitrariae strain NBRC 112416 platanus_K_default_20, whole genome shotgun sequence	NZ_BSNS01000020.1.region001; NZ_JBHLYO010000020.1.region001
0.3	RiPP_c0.3_famFAM_00120	RiPP	2	1	0.9	rare	NZ_BSNS01000007.1 Devosia nitrariae strain NBRC 112416 sequence07, whole genome shotgun sequence; NZ_JBHLYO010000004.1 Devosia nitrariae strain NBRC 112416 platanus_K_default_4, whole genome shotgun sequence	NZ_JBHLYO010000004.1.region001; NZ_BSNS01000007.1.region001
0.3	RiPP_c0.3_famFAM_00121	RiPP	5	1	0.9	rare	NZ_CP059902.1 Devosia sp. MC521 chromosome, complete genome; NZ_JABBDZ010000002.1 Devosia sp. MC1541 Scaffold2_1, whole genome shotgun sequence; NZ_JAEMEB010000005.1 Devosia sp. MC521 Scaffold5_1, whole genome shotgun sequence; NZ_JAEMNZ010000003.1 Devosia sp. MC532 Scaffold3_1, whole genome shotgun sequence; NZ_JAENGO010000005.1 Devosia sp. WQ 349K1 Scaffold4_1, whole genome shotgun sequence	NZ_JAEMNZ010000003.1.region001; NZ_JAEMEB010000005.1.region001; NZ_JAENGO010000005.1.region002; NZ_JABBDZ010000002.1.region001; NZ_CP059902.1.region001
0.3	RiPP_c0.3_famFAM_00122	RiPP	7	1	0.9	rare	NZ_CAXUPH020000005.1 Devosia sp. LjRoot16 LJR016c5, whole genome shotgun sequence; NZ_CP012945.1 Devosia sp. A16 chromosome, complete genome; NZ_JAFKHA010000012.1 MAG: Devosia sp. isolate SCN18_30_10_14_R3_B_66_58 SCN18_30_10_14_R3_B_scaffold_19, whole genome shotgun sequence; NZ_JBXAPX010000006.1 Devosia sp. GW821-FHT12F11 NODE_6_length_419588_cov_59.036509, whole genome shotgun sequence; NZ_LMCR01000017.1 Devosia sp. Root105 contig_5, whole genome shotgun sequence; NZ_LMEA01000010.1 Devosia sp. Root413D1 contig_5, whole genome shotgun sequence; NZ_MKVB01000002.1 MAG: Devosia sp. 66-14 SCNpilot_cont_300_bf_scaffold_147, whole genome shotgun sequence	NZ_LMEA01000010.1.region001; NZ_CAXUPH020000005.1.region001; NZ_MKVB01000002.1.region001; NZ_CP012945.1.region002; NZ_LMCR01000017.1.region001; NZ_JAFKHA010000012.1.region001; NZ_JBXAPX010000006.1.region001
0.3	RiPP_c0.3_famFAM_00123	RiPP	2	1	0.9	rare	NZ_BSNS01000011.1 Devosia nitrariae strain NBRC 112416 sequence11, whole genome shotgun sequence; NZ_JBHLYO010000010.1 Devosia nitrariae strain NBRC 112416 platanus_K_default_10, whole genome shotgun sequence	NZ_JBHLYO010000010.1.region001; NZ_BSNS01000011.1.region001
0.3	RiPP_c0.3_famFAM_00124	RiPP	2	1	0.9	rare	NZ_JAFKHA010000009.1 MAG: Devosia sp. isolate SCN18_30_10_14_R3_B_66_58 SCN18_30_10_14_R3_B_scaffold_4, whole genome shotgun sequence; NZ_MKVB01000001.1 MAG: Devosia sp. 66-14 SCNpilot_cont_300_bf_scaffold_127, whole genome shotgun sequence	NZ_MKVB01000001.1.region002; NZ_JAFKHA010000009.1.region002
0.3	RiPP_c0.3_famFAM_00125	RiPP	5	1	0.9	rare	NZ_CM147870.1 Devosia sp. J2-20 chromosome, whole genome shotgun sequence; NZ_CP118245.1 Devosia sp. J2-20 chromosome; NZ_JAGXTP010000002.1 Devosia litorisediminis strain BSSL-BM10 2, whole genome shotgun sequence; NZ_JAPWHK010000006.1 Devosia neptuniae strain G21611-S1 NODE_6_length_281503_cov_131.454, whole genome shotgun sequence; NZ_JBNMEO010000017.1 MAG: Devosia sp. isolate 3300055174_60 Ga0535679_0000215, whole genome shotgun sequence	NZ_CM147870.1.region006; NZ_JAGXTP010000002.1.region001; NZ_JAPWHK010000006.1.region001; NZ_JBNMEO010000017.1.region001; NZ_CP118245.1.region003
0.3	RiPP_c0.3_famFAM_00126	RiPP	2	1	0.9	rare	NZ_JBDGIY010000001.1 Devosia sp. Soil_C_22 NODE_1_length_3502528_cov_134.771868, whole genome shotgun sequence; NZ_PYVW01000001.1 Devosia naphthalenivorans strain CM5-1 scaffold1, whole genome shotgun sequence	NZ_JBDGIY010000001.1.region003; NZ_PYVW01000001.1.region001
